name,categories,images,rating,price,description,created_at,updated_at
"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G","[""Fashion""]",https://m.media-amazon.com/images/I/51TSC6UogxL._AC_UL320_.jpg,4.2,73951,"A lightweight, hydrating sunscreen that provides broad-spectrum UVA/B and blue light protection, leaving a radiant, dewy finish ideal for daily use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,"[""Fashion""]",https://m.media-amazon.com/images/I/51vYDop04SL._AC_UL320_.jpg,3.9,185155,"A durable, flexible silicone strap designed for OnePlus and Oppo smart bands, offering an adjustable fit and sweat resistance for everyday wear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1...,"[""Fashion""]",https://m.media-amazon.com/images/I/81VJ+MAc7YL._AC_UL320_.jpg,4.4,29654,"A beautifully illustrated collection of Panchatantra moral stories, perfect for bedtime reading and teaching values to young children.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,"[""Fashion""]",https://m.media-amazon.com/images/I/51RIhaW3t1L._AC_UL320_.jpg,4.2,108268,"An in-depth exploration of adult cinema history, tracing its evolution from the Victorian era through the advent of home video technology.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),"[""Fashion""]",https://m.media-amazon.com/images/I/61kmCas5OCL._AC_UL320_.jpg,4.0,148087,"A stylish and durable 15-liter backpack featuring multiple compartments and an ergonomic design, perfect for students and casual outings.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","[""Fashion""]",https://m.media-amazon.com/images/I/51x3cj+-iUL._AC_UL320_.jpg,4.3,92485,An ultra-light gel sunscreen enriched with 1% hyaluronic acid that offers broad-spectrum protection (SPF 50 PA++++) while hydrating the skin.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,...","[""Fashion""]",https://m.media-amazon.com/images/I/61Q0R5cdxWL._AC_UL320_.jpg,4.0,741175,"A feature-packed smartwatch with a vibrant 1.69-inch HD display, offering multiple sports modes, heart rate and SpO2 tracking, and fast charging for everyday use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S...,"[""Fashion""]",https://m.media-amazon.com/images/I/71E-b8o-1hL._AC_UL320_.jpg,4.0,647763,"A trendy Fastrack smartwatch with an ultra-bright 1.69-inch display, extensive sports tracking, and continuous heart rate and SpO2 monitoring.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green)","[""Fashion""]",https://m.media-amazon.com/images/I/51qHSeg28PS._AC_UL320_.jpg,,1341491,"Lightweight, foldable earmuffs designed to effectively reduce noise, making them ideal for work, shooting, or any noisy environment.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio...","[""Fashion""]",https://m.media-amazon.com/images/I/41YdhN7LJ+L._AC_UL320_.jpg,3.8,233899,"A robust dust cover that protects your Sony PS5 console from scratches, dust, and spills with a waterproof and durable design.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
